"county_fips","precinct_id","dem","gop","lib"
"001","4b",23,647,2
"001","3a1",20,587,4
"001","3c",288,843,4
"001","1b",116,870,7
"001","2",908,531,9
"001","5a",118,697,5
"001","4d",130,1048,1
"001","1c",44,594,2
"001","5b",132,709,2
"003","pearson-city",329,229,6
"003","axson",45,479,3
"003","pearson-county",160,1026,11
"003","willacoochee",291,566,10
"005","douglas",625,4018,25
"007","hoggards-mill",111,120,3
"007","elmodel",148,141,0
"007","anna",31,93,0
"007","milford",69,137,0
"007","newton",293,406,3
"009","city-hall-annex",331,153,6
"009","north-milledgeville",859,793,22
"009","north-baldwin",810,1891,24
"009","courthouse",169,113,6
"009","east-hardwick",520,140,12
"009","west-hardwick",1421,400,22
"009","west-baldwin",604,731,19
"009","south-milledgeville",583,179,9
"009","coopers",320,784,10
"009","boddie",547,134,6
"009","east-baldwin",1159,1581,28
"009","scottsboro",275,426,8
"009","meriweather",831,1366,26
"009","fire-dept",711,212,10
"011","grove-river",33,387,4
"011","berlin",29,266,0
"011","hollingsworth",53,432,3
"011","anderson",100,901,12
"011","poplar-springs",113,1121,15
"011","baldwin",103,528,6
"011","washington",53,438,4
"011","bushville",42,468,3
"011","homer",108,957,6
"011","golden-hill",80,538,7
"011","columbia",20,258,0
"011","wilmonts",32,394,3
"011","davids",166,1107,11
"013","13-winder-community-center",2036,3664,108
"013","02-bethlehem-church-211",966,4033,72
"013","04-covenant-life-sanctuary",624,1904,54
"013","08-first-baptist-church-winder",1114,3784,86
"013","05-fire-station-1-statham",1743,4198,70
"013","16-the-church-at-winder",2467,4395,160
"013","03-hmong-new-hope-alliance-church",943,3098,74
"013","01-bethlehem-community-center",560,1728,40
"015","folsom",113,897,8
"015","center",568,2312,48
"015","adairsville",908,3819,73
"015","cartersville-east",1527,2810,65
"015","hamilton-crossing",921,3228,45
"015","white",275,1648,32
"015","allatoona",696,1997,31
"015","cassville",1019,2259,53
"015","kingston",305,1550,27
"015","euharlee",853,2859,69
"015","cartersville-west",1776,4030,61
"015","pine-log",189,1369,25
"015","woodland",297,961,21
"015","emerson",414,1582,29
"015","zena-drive",1314,2422,64
"015","taylorsville",206,1861,25
"015","mission-road",711,2070,25
"017","west",1210,2861,38
"017","east",1182,1249,20
"019","west-berrien",67,706,7
"019","ray-city",216,1062,12
"019","alapaha",206,622,5
"019","enigma",86,636,6
"019","nashville",694,3393,25
"021","howard-2",929,1734,35
"021","hazzard-4",1618,2112,37
"021","east-macon-4",1309,95,9
"021","howard-6",736,878,18
"021","godfrey-2",795,98,8
"021","vineville-2",939,291,21
"021","vineville-1",1509,670,37
"021","godfrey-4",826,139,7
"021","rutland-2",863,1590,26
"021","hazzard-3",3284,1201,31
"021","vineville-3",1601,153,19
"021","hazzard-1",1676,232,21
"021","hazzard-2",1606,1215,34
"021","vineville-5",818,913,30
"021","east-macon-1",929,47,11
"021","vineville-6",1180,937,39
"021","howard-4",625,577,22
"021","howard-5",917,535,14
"021","godfrey-3",1543,175,8
"021","howard-3",2233,2397,55
"021","godfrey-1",2987,326,29
"021","warrior-1",675,1300,16
"021","rutland-1",1784,2559,28
"021","howard-1",992,1727,21
"021","east-macon-3",1563,570,23
"021","east-macon-5",1264,379,16
"021","east-macon-2",2169,157,27
"021","godfrey-5",2328,301,30
"021","warrior-2",877,1573,23
"021","vineville-4",2042,283,23
"021","howard-7",851,1421,31
