"County","Precinct","CST","REP","DEM","LIB","GRE"
"WAKE","05-07",0,322,283,10,1
"AVERY","13",1,99,25,1,0
"FORSYTH","506",0,452,789,11,1
"BRUNSWICK","18",2,1133,311,10,2
"HENDERSON","NW",4,757,415,7,6
"CUMBERLAND","G9B-2",5,1774,1708,34,9
"HARNETT","PR32",1,348,129,10,2
"COLUMBUS","P05",0,263,55,0,0
"GUILFORD","G18",0,127,73,4,1
"GRAHAM","EAST",6,1490,362,4,1
"GRANVILLE","TYHO",3,2279,1015,41,3
"HENDERSON","OS BOE",0,0,0,0,0
"ROBESON","38",0,208,80,2,0
"GUILFORD","G05",1,8,181,0,2
"ROBESON","30",3,1110,466,6,3
"BRUNSWICK","16",5,2809,1589,13,7
"BURKE","0015",2,866,224,2,2
"ROWAN","28",4,739,845,16,7
"SURRY","26",0,317,43,6,0
"PAMLICO","4HB",0,137,15,0,0
"CABARRUS","02-05",2,291,163,2,2
"IREDELL","ST4",2,1264,1071,26,4
"MECKLENBURG","044",2,284,790,12,1
"GUILFORD","H05",1,46,204,2,1
"MECKLENBURG","112",1,798,608,17,7
"FRANKLIN","03",7,1555,1403,30,4
"GATES","2",1,542,194,4,1
"NEW HANOVER","H02",0,467,696,14,2
"HENDERSON","PR",4,1197,594,21,7
"MCDOWELL","PLEASA",2,1251,378,15,4
"GUILFORD","MON3",3,485,163,6,1
"PERQUIMANS","NICANO",0,130,34,1,0
"GRANVILLE","CRDL",2,453,980,7,0
"WASHINGTON","SK",1,142,59,3,0
"COLUMBUS","P11",1,517,118,2,1
"DARE","PROVISIONAL",0,13,5,0,1
"CASWELL","MILT",1,680,870,8,0
"POLK","ONE STOP",5,4788,2329,42,7
"CHATHAM","3",2,1058,389,6,2
"GRANVILLE","MTEN",5,2303,1603,35,9
"NEW HANOVER","H01",0,213,232,11,4
"DURHAM","30-1",1,154,240,9,5
"GASTON","33",1,1451,253,17,2
"PITT","1509",0,198,194,8,5
"ALAMANCE","126",2,852,674,10,1
"GUILFORD","H09",0,27,162,1,3
"WAKE","OSWN 1-40",21,7215,9465,170,31
"WAKE","12-02",1,385,208,15,5
"COLUMBUS","P12",0,150,28,0,0
"RANDOLPH","GR",3,2331,569,24,3
"WAYNE","06",0,96,90,3,0
"WAKE","OSCS 81-120",1,192,327,4,4
"ALAMANCE","104",5,632,1014,19,3
"GRANVILLE","SOOX",1,246,763,8,2
"DUPLIN","CALY",0,247,77,0,0
"PENDER","LC09",0,883,423,6,2
"CUMBERLAND","G5B-2",1,355,1347,14,5
"ONSLOW","MT24",3,1086,300,23,3
"TRANSYLVANIA","RE",1,1187,289,11,3
"ROBESON","22",0,1037,743,6,7
"MCDOWELL","MAR 2",1,541,495,14,7
"BRUNSWICK","21",6,2584,1001,39,7
"COLUMBUS","P25B",1,910,79,2,0
"MOORE","PROVISIONAL",0,90,41,3,1
"HALIFAX","ENF1",0,80,348,0,1
"GUILFORD","PG1",1,119,54,4,3
"GASTON","25",5,1256,666,22,8
"BUNCOMBE","56.2",0,174,451,11,0
"PERQUIMANS","EAST H",2,300,406,8,2
"FORSYTH","908",3,1066,1321,28,5
"UNION","018",2,1703,1024,16,2
"BLADEN","P55",0,171,91,2,0
"ORANGE","NS",0,44,132,0,1
"DURHAM","24",1,142,176,10,3
"NASH","RMT DOWNTOWN OS",1,974,3806,15,4
"LINCOLN","OB21",0,370,48,3,0
"WAKE","OSCM 121-128",0,0,0,0,0
"MOORE","DHR",0,332,49,1,0
"CARTERET","WILD",1,1872,737,41,4
"AVERY","ONE STOP",4,3784,1215,26,5
"MECKLENBURG","058",3,637,817,27,8
"DURHAM","43",2,130,153,6,1
"SCOTLAND","05-10",1,255,126,3,1
"NASH","P12A",1,169,127,1,0
"UNION","001",2,244,455,5,3
"BUNCOMBE","22.2",2,157,750,5,5
"ROWAN","11",7,1535,725,11,7
"FORSYTH","032",7,1446,1006,23,9
"MARTIN","ABSENTEE",3,400,753,6,1
"WILKES","107",2,853,100,4,1
"SCOTLAND","07",0,201,214,1,0
"CATAWBA","14",4,685,612,14,3
"CUMBERLAND","CC13",2,78,994,8,5
"YADKIN","BNVL",0,554,91,5,0
"WAKE","01-34",0,24,218,1,0
"CUMBERLAND","G2C-1",3,841,1312,31,11
"MECKLENBURG","027",4,144,1285,9,9
"ORANGE","ES",0,41,73,1,1
"CATAWBA","08",1,1484,632,11,5
"WATAUGA","02",0,263,30,4,0
"STOKES","1819",1,279,56,1,0
"CATAWBA","30",3,1741,1082,24,8
"MACON","02",1,90,38,4,1
"BEAUFORT","GILEA",0,93,14,1,0
"ALAMANCE","03C",1,1143,865,20,3
"CUMBERLAND","CC16",3,55,1381,2,5
"STOKES","08",0,385,54,5,1
"YADKIN","FBSH",0,629,95,6,1
"LENOIR","W",3,751,147,6,0
"WILKES","112",1,436,66,3,1
"RANDOLPH","RN",5,3422,1029,36,4
"DAVIE","07",2,1122,275,9,4
"GASTON","05",1,613,919,4,3
"UNION","021",1,1657,438,17,3
"BEAUFORT","PANTE",0,224,66,0,0
"CHEROKEE","BRAS",1,522,187,2,2
"CLEVELAND","S 5",2,1066,963,17,0
"GUILFORD","FR4",0,141,85,5,2
"DARE","TRANSFER",0,0,0,0,0
"ROWAN","18",1,75,497,2,1
"HAYWOOD","WS-1",1,812,486,15,3
