precinct_id,gop,dem,lib,county_fips
13001_1b,828,134,16,13001
13001_1c,579,44,6,13001
13001_2,514,864,32,13001
13001_3a1,570,25,5,13001
13001_3c,819,281,22,13001
13001_4b,639,25,2,13001
13001_4d,1021,129,15,13001
13001_5a,660,115,17,13001
13001_5b,676,136,13,13001
13003_axson,461,46,10,13003
13003_pearson-city,238,293,12,13003
13003_pearson-county,1008,164,13,13003
13003_willacoochee,565,270,17,13003
13005_douglas,3929,591,70,13005
13007_anna,94,28,0,13007
13007_elmodel,136,147,4,13007
13007_hoggards-mill,114,115,1,13007
13007_milford,135,65,0,13007
13007_newton,394,293,8,13007
13009_boddie,142,527,14,13009
13009_city-hall-annex,153,312,18,13009
13009_coopers,768,307,27,13009
13009_courthouse,113,166,8,13009
13009_east-baldwin,1561,1127,62,13009
13009_east-hardwick,139,496,19,13009
13009_fire-dept,218,681,25,13009
13009_meriweather,1359,789,56,13009
13009_north-baldwin,1882,779,48,13009
13009_north-milledgeville,803,821,40,13009
13009_scottsboro,407,271,21,13009
13009_south-milledgeville,182,571,13,13009
13009_west-baldwin,735,579,24,13009
13009_west-hardwick,411,1357,51,13009
13011_anderson,882,98,26,13011
13011_baldwin,504,111,13,13011
13011_berlin,263,27,4,13011
13011_bushville,451,41,14,13011
13011_columbia,258,17,4,13011
13011_davids,1089,153,32,13011
13011_golden-hill,538,79,6,13011
13011_grove-river,381,34,8,13011
13011_hollingsworth,418,50,14,13011
13011_homer,937,101,22,13011
13011_poplar-springs,1100,107,29,13011
13011_washington,432,54,8,13011
13011_wilmonts,383,27,10,13011
13013_01-bethlehem-community-center,1692,538,81,13013
13013_02-bethlehem-church-211,3992,910,120,13013
13013_03-hmong-new-hope-alliance-church,3014,888,163,13013
13013_04-covenant-life-sanctuary,1883,600,67,13013
13013_05-fire-station-1-statham,4145,1670,156,13013
13013_08-first-baptist-church-winder,3691,1060,184,13013
13013_13-winder-community-center,3579,1998,188,13013
13013_16-the-church-at-winder,4321,2402,234,13013
13015_adairsville,3734,880,139,13015
13015_allatoona,1926,672,99,13015
13015_cartersville-east,2767,1485,115,13015
13015_cartersville-west,4040,1638,146,13015
13015_cassville,2192,995,104,13015
13015_center,2282,556,80,13015
13015_emerson,1568,396,50,13015
13015_euharlee,2797,832,116,13015
13015_folsom,877,107,22,13015
13015_hamilton-crossing,3186,890,96,13015
13015_kingston,1543,267,49,13015
13015_mission-road,2024,706,65,13015
13015_pine-log,1334,188,49,13015
13015_taylorsville,1830,209,40,13015
13015_white,1625,271,43,13015
13015_woodland,947,293,32,13015
13015_zena-drive,2337,1279,116,13015
13017_east,1249,1135,37,13017
13017_west,2828,1149,79,13017
13019_alapaha,614,197,12,13019
13019_enigma,617,87,9,13019
13019_nashville,3345,636,77,13019
13019_ray-city,1028,211,44,13019
13019_west-berrien,682,73,18,13019
13021_east-macon-1,47,891,28,13021
13021_east-macon-2,173,2101,45,13021
13021_east-macon-3,570,1493,55,13021
13021_east-macon-4,99,1264,17,13021
13021_east-macon-5,368,1232,38,13021
13021_godfrey-1,350,2868,73,13021
13021_godfrey-2,95,756,32,13021
13021_godfrey-3,177,1480,40,13021
13021_godfrey-4,141,781,21,13021
13021_godfrey-5,316,2249,61,13021
13021_hazzard-1,230,1635,33,13021
13021_hazzard-2,1191,1580,58,13021
13021_hazzard-3,1179,3217,74,13021
13021_hazzard-4,2096,1577,65,13021
13021_howard-1,1777,911,31,13021
13021_howard-2,1740,899,33,13021
13021_howard-3,2431,2133,77,13021
13021_howard-4,584,608,32,13021
13021_howard-5,532,868,42,13021
13021_howard-6,884,706,25,13021
13021_howard-7,1434,826,41,13021
13021_rutland-1,2511,1760,58,13021
13021_rutland-2,1546,854,60,13021
13021_vineville-1,684,1439,65,13021
13021_vineville-2,306,899,27,13021
13021_vineville-3,159,1534,42,13021
13021_vineville-4,307,1956,61,13021
13021_vineville-5,927,783,40,13021
13021_vineville-6,969,1088,73,13021
13021_warrior-1,1295,658,23,13021
13021_warrior-2,1527,882,44,13021
13023_fairground,4281,1249,114,13023
13025_hoboken,2158,163,27,13025
13025_nahunta,2463,249,43,13025
13025_waynesville,2191,276,46,13025
13027_barwick,177,65,3,13027
13027_briggs,1121,314,26,13027
13027_dixie,367,374,12,13027
13027_morven,922,371,23,13027
13027_nankin,408,85,6,13027
13027_pavo,308,114,8,13027
